名称	原始类型	原始字节	sha256	抓取日期	出处地址
vendor-sap-api-policy	pdf	108709	89017be6a75b81a4836c29aca105c17f9b9b035a96c3a859ecdcc8c759b5888f	2026-09-20	https://help.sap.com/doc/sap-api-policy/latest/en-US/API_Policy_latest.pdf
academic-2605.17812-going-headless	pdf	231734	a0496d686ee531fd451661a6939f254a3c159e44bf773cd0ac314caefade0e5b	2026-09-20	https://arxiv.org/abs/2605.17812
academic-2602.21401-headless-firm	pdf	554402	d9d7618b5d0bed9301bd12bc1a3b7e9a39de8f2d56ccea14dc4f0c4c96a6698a	2026-09-20	https://arxiv.org/abs/2602.21401
academic-2604.26482-buy-or-build	pdf	291657	d584b9efa925263694a054e234c2f49ffb9fed5cde967a5195003573ac52341b	2026-09-20	https://arxiv.org/abs/2604.26482
academic-2606.09182-enterprise-mcp-adoption	pdf	1043581	d8b649f94a3ca2d502965ee35f4f9dfbb8a4ea54864e1f3d3d756f0899ea5fef	2026-09-20	https://arxiv.org/abs/2606.09182
academic-2508.03095-agent-registries	pdf	694008	07b01bbe9b6f3495aec9acec328f140ef497c4f9aa201ea1121958cf0b58bc81	2026-09-20	https://arxiv.org/abs/2508.03095
academic-2511.20920-securing-mcp	pdf	247836	43fed3673874653a96f254cfd35fb14ba871f95d16bf813b582edb16145468ce	2026-09-20	https://arxiv.org/abs/2511.20920
academic-2504.08623-enterprise-mcp-security	pdf	585566	48ba8b0557be599b5a0dd7ccb78b618aae5bebec4d7b72188de21368459d7b73	2026-09-20	https://arxiv.org/abs/2504.08623
academic-2505.03864-a2a-mcp-integration	pdf	4033944	6dfe35a8a8477be7bc3e5a422fda9efe85f4ba8873aab323d9f95c933beb8432	2026-09-20	https://arxiv.org/abs/2505.03864
academic-2509.01063-economy-of-ai-agents	pdf	290545	603f62ede09f758267aca080b10d0a30cfc6beb1b40dc098aa4748cbf8e1eb67	2026-09-20	https://arxiv.org/abs/2509.01063
academic-2607.02577-benchmark-validity-audit	pdf	309196	eb291916b21a23ba951ef8be208cead4dbcfa83f36353cc571bb12194722ec69	2026-09-20	https://arxiv.org/abs/2607.02577
academic-2508.16260-mcpverse	pdf	2253333	b07aeaff5f1d7d13c0cb0173af3852a50a07a9ee10b54b89e2c8e712ff7b8d5d	2026-09-20	https://arxiv.org/abs/2508.16260
academic-2606.20570-agentic-web-infra	pdf	422004	480f703c469c6aeb43f141046397d0cb19395d24f5249e35ac9167d5e6483153	2026-09-20	https://arxiv.org/abs/2606.20570
academic-2603.25100-logic-monopoly	pdf	3572278	bb9f33db93188bafbb81c90e37d2db03638e6281129eedff8b566c1ef49a78ec	2026-09-20	https://arxiv.org/abs/2603.25100
